User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
notericisboss84,BoofBaldy,0.5859,0.0,0.774,0.226,"RT @BoofBaldy: ""And the winner of the 2016 presidential election is... Donald Trump""Immigrants: https://t.co/kpC1BvnFSL"
notericisboss84,twitter,0.5859,0.0,0.774,0.226,"RT @BoofBaldy: ""And the winner of the 2016 presidential election is... Donald Trump""Immigrants: https://t.co/kpC1BvnFSL"
cchsctv,facebook,0.0,0.0,1.0,0.0,CTV Teens Vote 7PMCTV Election Coverage https://t.co/Nqn5midjrg
Hanto38Le,ABC,-0.4404,0.121,0.879,0.0,"RT @ABC: Trump, Clinton are both in Midtown Manhattan tonight, watching the results come in just a block away from each other https://t.co/"
Hanto38Le,t,-0.4404,0.121,0.879,0.0,"RT @ABC: Trump, Clinton are both in Midtown Manhattan tonight, watching the results come in just a block away from each other https://t.co/"
KristinaF1977,FreddieCampion,0.6369,0.0,0.743,0.257,RT @FreddieCampion: Donald Trump makes good on his promise to have Election Day observers monitoring immigrants https://t.co/dRpDqhylzQ
KristinaF1977,twitter,0.6369,0.0,0.743,0.257,RT @FreddieCampion: Donald Trump makes good on his promise to have Election Day observers monitoring immigrants https://t.co/dRpDqhylzQ
CarusiPrincipal,CarusiMS,0.0258,0.0,0.939,0.061,RT @CarusiMS: 8th Grade Election Night tonight 7-9pm. Enter through Gym lobby and go to our cafeteria. https://t.co/biG7KAwcnm
CarusiPrincipal,twitter,0.0258,0.0,0.939,0.061,RT @CarusiMS: 8th Grade Election Night tonight 7-9pm. Enter through Gym lobby and go to our cafeteria. https://t.co/biG7KAwcnm
jkbriseno,nytimes,0.5859,0.0,0.725,0.275,RT @nytimes: When will we know when we have a winner? https://t.co/58YOEs664i
jkbriseno,nytimes,0.5859,0.0,0.725,0.275,RT @nytimes: When will we know when we have a winner? https://t.co/58YOEs664i
Aspennicole17,precious_oxox,-0.6169,0.314,0.686,0.0,RT @precious_oxox: this election is fucking with my anxiety. Donald Trump cannot win.
ramesh_tnt,businessinsider,0.5719,0.0,0.821,0.179,RT @businessinsider: WORLD'S BIGGEST HEDGE FUND: Stock markets around the world will tank if Trump wins https://t.co/E3uNuK6fMw https://t.c
ramesh_tnt,businessinsider,0.5719,0.0,0.821,0.179,RT @businessinsider: WORLD'S BIGGEST HEDGE FUND: Stock markets around the world will tank if Trump wins https://t.co/E3uNuK6fMw https://t.c
Axellent33,Verge,0.5106,0.0,0.708,0.292,Donald Trump's website enjoyed a brief democracy https://t.co/y7zBMbqU8i via @Verge
Axellent33,theverge,0.5106,0.0,0.708,0.292,Donald Trump's website enjoyed a brief democracy https://t.co/y7zBMbqU8i via @Verge
tzraik,WSJ,0.2023,0.0,0.917,0.083,"RT @WSJ: Election night guide: The top things to watch, with key times and races of the night https://t.co/l6LIuGSM0f #election2016  https"
tzraik,blogs,0.2023,0.0,0.917,0.083,"RT @WSJ: Election night guide: The top things to watch, with key times and races of the night https://t.co/l6LIuGSM0f #election2016  https"
AmyBlankenship,BenNadel,0.5473,0.0,0.665,0.335,@BenNadel Post-Election: Game of Thrones binge watch LOL
gregmroscoe,MayorOfLA,0.8478,0.0,0.674,0.326,"RT @MayorOfLA: The importance of this election is too great to simply stay home. Please get out and vote, LA! Visit https://t.co/277rgwAQLs"
gregmroscoe,lavote,0.8478,0.0,0.674,0.326,"RT @MayorOfLA: The importance of this election is too great to simply stay home. Please get out and vote, LA! Visit https://t.co/277rgwAQLs"
AlanbNYC,twitter,0.6105,0.108,0.505,0.387,Ok this is funny. A little humor I suspect is needed on election day  https://t.co/6F6O91hsZP
CDNutz14,Livestream,0.0,0.0,1.0,0.0,Watch Election 2016 Livestream on @Livestream: https://t.co/Ebsdg2TceU
CDNutz14,livestream,0.0,0.0,1.0,0.0,Watch Election 2016 Livestream on @Livestream: https://t.co/Ebsdg2TceU
mdavkes,HillaryClinton,0.0,0.0,1.0,0.0,RT @HillaryClinton: Election Day is almost over. Dont waitgo vote now! Confirm where you vote at https://t.co/jfd3CXLD1s https://t.co/Iv
mdavkes,hillaryclinton,0.0,0.0,1.0,0.0,RT @HillaryClinton: Election Day is almost over. Dont waitgo vote now! Confirm where you vote at https://t.co/jfd3CXLD1s https://t.co/Iv
HiTechWorldNews,route,0.0,0.0,1.0,0.0,How likely is it for someone to hack the US election? https://t.co/VPE8lSn6jH https://t.co/Oflf6pdSC1
citroncool,dril,0.0,0.0,1.0,0.0,RT @dril: if you ask me this election could end about 100 different ways:1) trump gets 0% of the vote2) trump gets 1% of the vote3) trum
BookHoundsBlog,repjohnlewis,0.0,0.0,1.0,0.0,"RT @repjohnlewis: Do not give up, give in, or give out. You must do what it takes to make your voice heard and cast your ballot in this ele"
mohermes2020,DocFaustine,0.0,0.0,1.0,0.0,"RT @DocFaustine: Three o'clock in the morning and still awake, following US election results https://t.co/5DyTzdU4XC"
mohermes2020,instagram,0.0,0.0,1.0,0.0,"RT @DocFaustine: Three o'clock in the morning and still awake, following US election results https://t.co/5DyTzdU4XC"
artofwar73,CNN,0.4753,0.0,0.781,0.219,Watching @CNN election results likes it's a football playoff game!  Where's the popcorn?
marveItrade,mashable,0.0,0.0,1.0,0.0,RT @mashable: Caught! Donald Trump was peeking at his wife's election ballot  #ElectionNight https://t.co/1CsOJNnkpo
marveItrade,twitter,0.0,0.0,1.0,0.0,RT @mashable: Caught! Donald Trump was peeking at his wife's election ballot  #ElectionNight https://t.co/1CsOJNnkpo
BrendanTN_,RCDefense,0.0,0.0,1.0,0.0,RT @RCDefense: Cyberwarfare Amidst the U.S. #Election | @BrendanTN_ @LowyInstitute #ElectionDay #ElectionNight #Election2016 https://t.co/3
BrendanTN_,twitter,0.0,0.0,1.0,0.0,RT @RCDefense: Cyberwarfare Amidst the U.S. #Election | @BrendanTN_ @LowyInstitute #ElectionDay #ElectionNight #Election2016 https://t.co/3
thefiddleflores,HillaryClinton,0.4019,0.0,0.863,0.137,@HillaryClinton @HFA @katyperry @HillaryForNY this election party is fucking bs. I waited 3hrs 4 tix &amp; 10hrs @javitscenter. Can't c nothing.
ShekYerbouti,twitter,0.1071,0.102,0.764,0.134,I would like to call the election but I can't find their number https://t.co/c8LK3HoDdT
franklapore,politico,-0.5859,0.348,0.652,0.0,Trump seizes on isolated glitches to fuel rigged election claims  https://t.co/AVEY0b9tPT
FLMENFORTRUMP,SonofLiberty357,0.4939,0.0,0.824,0.176,RT @SonofLiberty357: More Philly Voter Fraud=&gt; Election Workers Hand Out Instructions to Vote Hillary (VIDEO) https://t.co/VpmqCeml3e
FLMENFORTRUMP,thegatewaypundit,0.4939,0.0,0.824,0.176,RT @SonofLiberty357: More Philly Voter Fraud=&gt; Election Workers Hand Out Instructions to Vote Hillary (VIDEO) https://t.co/VpmqCeml3e
BULGEBULL,t,0.0,0.0,1.0,0.0,WATCH LIVE: 5 Streaming News Channels Covering Election Night 2016 https://t.co/48zkTcOeYYIf youre looking for https://t.co/bAnUclGknV
e_poll2016,politico,0.0,0.0,1.0,0.0,RT @politico: Polls are about to close in multiple states. Follow live results here: https://t.co/YYB0l0V0BN https://t.co/lW4cC0Gvaj
e_poll2016,politico,0.0,0.0,1.0,0.0,RT @politico: Polls are about to close in multiple states. Follow live results here: https://t.co/YYB0l0V0BN https://t.co/lW4cC0Gvaj
Stepto,toddpruzan,-0.3802,0.11,0.89,0.0,RT @toddpruzan: Seemed odd Trump books his election-night wake at the Hilton. Why give away the business? Until I realized! He's going to s
schwiick,memeprovider,0.0,0.0,1.0,0.0,RT @memeprovider: got my election sticker https://t.co/EBknYdpVzU
schwiick,twitter,0.0,0.0,1.0,0.0,RT @memeprovider: got my election sticker https://t.co/EBknYdpVzU
NaisBtd,CBCAlerts,-0.8481,0.326,0.674,0.0,"RT @CBCAlerts: One dead in shooting in California, three injured near polling station. No indication so far that it is election-related: re"
tlvrp_russia,therussophile,-0.2732,0.195,0.667,0.138,#Moscow #SaintPetersburg Stanford University Confirms Democratic 2016 Election Fraud In Favor of Hillary Clinton https://t.co/9Ps7WcZp6q
thvideogamenews,asunnydisposish,-0.2263,0.076,0.924,0.0,"RT @asunnydisposish: As someone who can't vote today but will still be affected by the election results, I urge you to not throw away your"
neyotherock,TrailerJamShow,-0.3182,0.15,0.85,0.0,RT @TrailerJamShow: The election is causing loads of accidents on the highway  #TrailerJamShow https://t.co/p5UNoTWqDN
neyotherock,twitter,-0.3182,0.15,0.85,0.0,RT @TrailerJamShow: The election is causing loads of accidents on the highway  #TrailerJamShow https://t.co/p5UNoTWqDN
IrwanFelany,instagram,0.4215,0.0,0.641,0.359,United State Election 2016#kamiawani #usaelections2016 https://t.co/VA9MS52JBm
Owfield,NewsHour,0.0,0.0,1.0,0.0,"RT @NewsHour: Whether you've yet to vote or have already voted, let us know why you cast a ballot in this election. Tell us with #MyVotePBS"
janet_cutts,Reuters,0.0,0.0,1.0,0.0,RT @Reuters: Democrats hold slight edge in contest to control Senate https://t.co/OAR9uCsY1B https://t.co/VviwIv3AqY
janet_cutts,reuters,0.0,0.0,1.0,0.0,RT @Reuters: Democrats hold slight edge in contest to control Senate https://t.co/OAR9uCsY1B https://t.co/VviwIv3AqY
AvoDead,VenomsDevil,0.0,0.0,1.0,0.0,@VenomsDevil voting isn't strictly presidential in America. There is a host of propositions and local voting on Election Day
kinkyseoks,PJMedia_com,0.0,0.0,1.0,0.0,RT @PJMedia_com: Vote: What will you be drinking while watching election returns tonight?#ElectionNight #voted
Koxinga8,breitbart,0.5859,0.0,0.774,0.226,Frank Luntz: #Trump Could Win Michigan  Working-Class Turnout 'Much Higher than Expected' - Breitbart https://t.co/gIclIzCOzS
FamousPixs,NPR,0.4019,0.0,0.863,0.137,RT @NPR: Los Angeles authorities say two polling locations are closed due to an active shooter situation. https://t.co/C7Y1uiDgpf
FamousPixs,npr,0.4019,0.0,0.863,0.137,RT @NPR: Los Angeles authorities say two polling locations are closed due to an active shooter situation. https://t.co/C7Y1uiDgpf
TRUMPNEXTPRES16,RealBenCarson,0.5423,0.0,0.791,0.209,RT @RealBenCarson: Tomorrow's election is 'The Political Class' vs 'We The People.' Please read and share my newest article.https://t.co/
davedbody,Milbank,0.3612,0.06,0.815,0.124,RT @Milbank: They built a cash bar at Trump election night party-- and his supporters are going to pay for it. https://t.co/X18u0HieSN
davedbody,twitter,0.3612,0.06,0.815,0.124,RT @Milbank: They built a cash bar at Trump election night party-- and his supporters are going to pay for it. https://t.co/X18u0HieSN
patriciayingst,WSJPolitics,-0.3818,0.133,0.867,0.0,"RT @WSJPolitics: People line up to visit Susan B. Anthony's grave in Rochester, N.Y. on #ElectionDay https://t.co/svBB8C8bLY  https://t.co"
patriciayingst,wsj,-0.3818,0.133,0.867,0.0,"RT @WSJPolitics: People line up to visit Susan B. Anthony's grave in Rochester, N.Y. on #ElectionDay https://t.co/svBB8C8bLY  https://t.co"
lillayyyy_,LKiddy2,0.0,0.0,1.0,0.0,RT @LKiddy2: If our founding fathers could see this election they'd probably give our country back to the British.
laceylfischer_,SoDamnTrue,0.3612,0.0,0.828,0.172,RT @SoDamnTrue: what twitter will be like today since its election day https://t.co/kVb11TM7CJ
laceylfischer_,vine,0.3612,0.0,0.828,0.172,RT @SoDamnTrue: what twitter will be like today since its election day https://t.co/kVb11TM7CJ
JOHNTFALVEYSR,RT_America,-0.7717,0.34,0.66,0.0,"RT @RT_America: BREAKING: Reports of one dead after gunman opened fire in Azusa, CA https://t.co/G0cuZ0bfH0"
JOHNTFALVEYSR,rt,-0.7717,0.34,0.66,0.0,"RT @RT_America: BREAKING: Reports of one dead after gunman opened fire in Azusa, CA https://t.co/G0cuZ0bfH0"
XaviVenegas,IZOD,0.296,0.0,0.833,0.167,RT @IZOD: America votes. Join the Election Day conversation with #MyVote2016 https://t.co/BWuiwAxas6
XaviVenegas,twitter,0.296,0.0,0.833,0.167,RT @IZOD: America votes. Join the Election Day conversation with #MyVote2016 https://t.co/BWuiwAxas6
karmunyu,TheEconomist,0.0,0.0,1.0,0.0,RT @TheEconomist: How other countries would vote in the American election https://t.co/kYiIOsGYO0 https://t.co/eoQw7s3H8V
karmunyu,economist,0.0,0.0,1.0,0.0,RT @TheEconomist: How other countries would vote in the American election https://t.co/kYiIOsGYO0 https://t.co/eoQw7s3H8V
grandmaKim27,JamesOKeefeIII,-0.5423,0.132,0.868,0.0,"RT @JamesOKeefeIII: We just caught election officials telling people who to vote for, crime Under 25 PS 3031.11. I will tag both you and @D"
Cyber_Legendary,twitter,0.3612,0.0,0.8,0.2,I'm ready for the results of the election. #electionday #ElectionNight https://t.co/iHMRf5yZcQ
tobibeth1,TheAnonnMessage,0.4003,0.0,0.77,0.23,@TheAnonnMessage Not determined if shooting is related to election yet!
TedFlintKansas,ericmichel,0.3612,0.0,0.857,0.143,RT @ericmichel: I am going to hate-watch CNN's election night coverage like the last season of Dexter
BULGEBULL,i2,0.4019,0.0,0.838,0.162,WATCH LIVE: Hillary Clinton and Donald Trump Hold Election Night Parties Only A Mile Apart  https://t.co/vGY5zOkGg6
curraheave,memeprovider,0.0,0.0,1.0,0.0,RT @memeprovider: got my election sticker https://t.co/EBknYdpVzU
curraheave,twitter,0.0,0.0,1.0,0.0,RT @memeprovider: got my election sticker https://t.co/EBknYdpVzU
Toastiewiththe,nytimes,0.5859,0.0,0.725,0.275,RT @nytimes: When will we know when we have a winner? https://t.co/58YOEs664i
Toastiewiththe,nytimes,0.5859,0.0,0.725,0.275,RT @nytimes: When will we know when we have a winner? https://t.co/58YOEs664i
LabourNHSJAN,independent,0.296,0.0,0.885,0.115,Eric Trump illegally shares photo of him voting for his dad to be president | The Independent - www.independent. https://t.co/oee14c9qiI
OdellSZN,StephForMVP30,0.7955,0.0,0.718,0.282,RT @StephForMVP30: If Trump or Hillary wins the election I'm moving out the country! Goodbye America and hello United States!
mariachooch,iHumbleThots,0.3612,0.0,0.737,0.263,RT @iHumbleThots: Waiting on Election results like https://t.co/4elYh2O7Ic
mariachooch,twitter,0.3612,0.0,0.737,0.263,RT @iHumbleThots: Waiting on Election results like https://t.co/4elYh2O7Ic
VZoey101,Khanoisseur,0.765,0.0,0.752,0.248,RT @Khanoisseur: Easily the best use of a campaign plane this election season: Clinton team (with Jon Bon Jovi) pull off a spectacular mann
PANKsinatra,NateSilver538,0.4767,0.121,0.603,0.276,"RT @NateSilver538: If Clinton wins Florida, her chances will shoot up to about 93%. https://t.co/ZUCgeSJ5eP"
PANKsinatra,fivethirtyeight,0.4767,0.121,0.603,0.276,"RT @NateSilver538: If Clinton wins Florida, her chances will shoot up to about 93%. https://t.co/ZUCgeSJ5eP"
hkmeehan,WDFx2EU8,-0.7156,0.237,0.763,0.0,RT @WDFx2EU8: Breaking: Florida Election Worker Goes Public With Massive Voter Fraud Happening Right Now !!!!! https://t.co/m3jPrRGEXT
hkmeehan,conservativeeagles,-0.7156,0.237,0.763,0.0,RT @WDFx2EU8: Breaking: Florida Election Worker Goes Public With Massive Voter Fraud Happening Right Now !!!!! https://t.co/m3jPrRGEXT
TheSpencerSapp,twitter,0.0,0.0,1.0,0.0,The only way I'll be able to get through the waning hours of the election... https://t.co/xJgPLv0FS9
laurie6805,cernovichsdog,0.0,0.0,1.0,0.0,RT @cernovichsdog: If I self identify as a human on Election Day - can I vote for Donald J. Trump? #MAGA3X https://t.co/tI8GFaKpxb
laurie6805,twitter,0.0,0.0,1.0,0.0,RT @cernovichsdog: If I self identify as a human on Election Day - can I vote for Donald J. Trump? #MAGA3X https://t.co/tI8GFaKpxb
hueDothanh,YouTube,0.0,0.0,1.0,0.0,Election 2016 Voting under way for next president: https://t.co/tUEDCcpImG qua @YouTube
hueDothanh,youtube,0.0,0.0,1.0,0.0,Election 2016 Voting under way for next president: https://t.co/tUEDCcpImG qua @YouTube
charissemarie,inquisitr,0.0,0.0,1.0,0.0,Get Live #Election Results Streaming Online And Be The First To Know Who The #President Is https://t.co/eDTWkHqQNF
zoomollogist,BernieSanders,0.6705,0.0,0.776,0.224,RT @BernieSanders: I can't fill in for every worker today. Election Day should be a national holiday so that everyone has the opportunity t
KweschnMedia,ajplus,-0.5574,0.195,0.805,0.0,RT @ajplus: Donald Trump keeps telling us that the election is rigged. So what's the real risk of #voterfraud today? https://t.co/uHRaxDceau
KweschnMedia,twitter,-0.5574,0.195,0.805,0.0,RT @ajplus: Donald Trump keeps telling us that the election is rigged. So what's the real risk of #voterfraud today? https://t.co/uHRaxDceau
dlmassepuh,RitaCosby,0.5374,0.0,0.852,0.148,RT @RitaCosby: Be sure to get out and vote in this key election in our country! I did!!! #ivotedtoday #ElectionNight #Elections2016 @77WABC
BaseballBeerBBQ,HappyHourNet,0.7712,0.0,0.691,0.309,RT @HappyHourNet: It's the Nikki X Happy Hour #ElectionDay Special! Tonight at 7:30 ET https://t.co/DyeN4Q0EFY @DrJimmyStar @JETAR9 @LadyLa
BaseballBeerBBQ,blogtalkradio,0.7712,0.0,0.691,0.309,RT @HappyHourNet: It's the Nikki X Happy Hour #ElectionDay Special! Tonight at 7:30 ET https://t.co/DyeN4Q0EFY @DrJimmyStar @JETAR9 @LadyLa
ikkelinear,NewsBud_,-0.5267,0.185,0.815,0.0,RT @NewsBud_: Did Russia Hack the Election? A Short History of CIA Election Sabotage https://t.co/PK6aTk1V6N (Video) https://t.co/TS0KPC5GA
ikkelinear,newsbud,-0.5267,0.185,0.815,0.0,RT @NewsBud_: Did Russia Hack the Election? A Short History of CIA Election Sabotage https://t.co/PK6aTk1V6N (Video) https://t.co/TS0KPC5GA
kf4bef,SebGorka,0.8779,0.0,0.558,0.442,"RT @SebGorka: Good sign:Reuters/Ipsos Exit Poll: 3 in 4 Think Economy 'Rigged' for 'Rich and Powerful,' Want 'Strong Leader' https://t."
kf4bef,,0.8779,0.0,0.558,0.442,"RT @SebGorka: Good sign:Reuters/Ipsos Exit Poll: 3 in 4 Think Economy 'Rigged' for 'Rich and Powerful,' Want 'Strong Leader' https://t."
thejoepeach,CNN,0.0,0.0,1.0,0.0,RT @CNN: Stand by for #CNNElection projectionhttps://t.co/15RGLqdxpK#ElectionNight https://t.co/Ty5O1defYU
thejoepeach,twitter,0.0,0.0,1.0,0.0,RT @CNN: Stand by for #CNNElection projectionhttps://t.co/15RGLqdxpK#ElectionNight https://t.co/Ty5O1defYU
Vibrantankles,ICMezzo,-0.4215,0.358,0.473,0.169,"@ICMezzo same. Goddamn, this election is like no other, ever..."
SkinbyKimH,realDonaldTrump,0.2124,0.0,0.931,0.069,"RT @realDonaldTrump: Don't let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left"
kodykpelham11,NoleGameday,0.6114,0.0,0.6,0.4,"RT @NoleGameday: Happy election night, #Noles!  https://t.co/gqzEAWdsDW"
kodykpelham11,twitter,0.6114,0.0,0.6,0.4,"RT @NoleGameday: Happy election night, #Noles!  https://t.co/gqzEAWdsDW"
MxHarperion,blogdiva,0.0,0.0,1.0,0.0,RT @blogdiva: THIS REMINDS ME... are we getting taco trucks on every corner the day after the election or the day after inauguration? #Ele
wawzxz,WSJ,0.0,0.0,1.0,0.0,RT @WSJ: Polls close in six states at 7 p.m. EST. Follow along for live updates: https://t.co/reNrPgubQ6  #Election2016 https://t.co/pz4iZ
wawzxz,wsj,0.0,0.0,1.0,0.0,RT @WSJ: Polls close in six states at 7 p.m. EST. Follow along for live updates: https://t.co/reNrPgubQ6  #Election2016 https://t.co/pz4iZ
ChickWithKicksz,cruzzz_1,0.0,0.0,1.0,0.0,RT @cruzzz_1: I ain't even tryna watch the election today
pauldrawdy,TheBabylonBee,0.0258,0.138,0.718,0.144,"RT @TheBabylonBee: The True Election Was In Eternity Past, Annoying Calvinist Keeps Reminding Everyone https://t.co/IGCNuFrJxL https://t."
pauldrawdy,babylonbee,0.0258,0.138,0.718,0.144,"RT @TheBabylonBee: The True Election Was In Eternity Past, Annoying Calvinist Keeps Reminding Everyone https://t.co/IGCNuFrJxL https://t."
rosie_apperleyy,RLong_Bailey,-0.5,0.177,0.823,0.0,RT @RLong_Bailey: 3 little bits of bad news the Tories slipped out on US Election Day https://t.co/mRHjfhTCkt
rosie_apperleyy,mirror,-0.5,0.177,0.823,0.0,RT @RLong_Bailey: 3 little bits of bad news the Tories slipped out on US Election Day https://t.co/mRHjfhTCkt
starmonkey4304,michaelianblack,-0.0516,0.132,0.746,0.123,RT @michaelianblack: Quick reminder that Paul Ryan and nearly the entire Republican leadership disgraced themselves at every opportunity th
sinfulweeknd,khairounaaaaa,0.3597,0.0,0.889,0.111,"RT @khairounaaaaa: this whole election has shown me how capitalism is a fucking joke, so who's gonna teach me about communism? https://t.co"
sinfulweeknd,t,0.3597,0.0,0.889,0.111,"RT @khairounaaaaa: this whole election has shown me how capitalism is a fucking joke, so who's gonna teach me about communism? https://t.co"
mattleising,jmelikidse,0.0,0.0,1.0,0.0,"RT @jmelikidse: Summing up this election year:Red, White and Blew https://t.co/dPuNqr1Xha"
mattleising,twitter,0.0,0.0,1.0,0.0,"RT @jmelikidse: Summing up this election year:Red, White and Blew https://t.co/dPuNqr1Xha"
damngabbiee,ShaanMKhan,0.3182,0.0,0.905,0.095,RT @ShaanMKhan: Our election system is flawed. Water is wet. And you're a genius for realizing it. We get it. Now go vote please.
gkgguy,AliEWentworth,-0.4753,0.279,0.721,0.0,RT @AliEWentworth: Election watching stress eating chocolate cake!  https://t.co/URJ1tL1pzl
gkgguy,twitter,-0.4753,0.279,0.721,0.0,RT @AliEWentworth: Election watching stress eating chocolate cake!  https://t.co/URJ1tL1pzl
ClaudiuIonutes1,realDonaldTrump,0.2124,0.0,0.931,0.069,"RT @realDonaldTrump: Don't let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left"
iamBoozforeal,rudeboyy,0.0772,0.0,0.902,0.098,Video: Common Freestyles About Hillary Clinton &amp; Voting On Election Day  https://t.co/GKLwSuEZI8 https://t.co/3vdRtLdzD4
ValisWatson,HispanicsTrump,0.4374,0.0,0.874,0.126,RT @HispanicsTrump: This election is coming down to the wire. Please if you haven't already get out and vote Trump!! #ElectionDay
ProudfitAsian,champagnepapi,0.5719,0.0,0.791,0.209,RT @champagnepapi: If Donald trump wins the election I'll PayPal everyone that rted this $1
8skopar,untappd!,0.0,0.0,1.0,0.0,I just earned the 'Election Day (2016)' badge on @untappd! https://t.co/fyt1hzBlOl #voteforbeer
8skopar,untappd,0.0,0.0,1.0,0.0,I just earned the 'Election Day (2016)' badge on @untappd! https://t.co/fyt1hzBlOl #voteforbeer
heavehoorg,heave-ho,0.0,0.0,1.0,0.0,"In Philadelphia, rumors give way to an ordinaryelection https://t.co/DtjMlNBlXK"
trustfaIIs,falIawaytyIer,0.4215,0.0,0.823,0.177,RT @falIawaytyIer: attention america this is your official presidential election ballot. vote wisely. #topdebate
SamSteel10,TheLastRefuge2,0.0,0.0,1.0,0.0,RT @TheLastRefuge2: Thread #1  7:00pm Election Results and Discussion https://t.co/dvp9W1yfpJ https://t.co/1kuDOKqQA4
SamSteel10,theconservativetreehouse,0.0,0.0,1.0,0.0,RT @TheLastRefuge2: Thread #1  7:00pm Election Results and Discussion https://t.co/dvp9W1yfpJ https://t.co/1kuDOKqQA4
jjconceptsinc,badwolf303,-0.4215,0.177,0.823,0.0,"RT @badwolf303: Election Day: Voters encounter machine breakdowns, describe intimidation at the polls  https://t.co/B8UY4Or0bx"
jjconceptsinc,washingtonpost,-0.4215,0.177,0.823,0.0,"RT @badwolf303: Election Day: Voters encounter machine breakdowns, describe intimidation at the polls  https://t.co/B8UY4Or0bx"
Lacy_Casper,Klcampbell_7,0.296,0.1,0.708,0.192,"RT @Klcampbell_7: Instead of worrying about the election, just remember that we serve a God that's greater than any past/future president."
_mandytweets,twitter,0.0,0.0,1.0,0.0,I'm literally too afraid to go to sleep because of this election and I'm not even American..#ElectionNight https://t.co/mnFCzKNtjb
Samantha_Ruko,SarahCAndersen,-0.1531,0.086,0.914,0.0,RT @SarahCAndersen: Need to finish tomorrow's comic but the election is messing with my nerves just a LITTLE https://t.co/XjkCcpqXsV
Samantha_Ruko,twitter,-0.1531,0.086,0.914,0.0,RT @SarahCAndersen: Need to finish tomorrow's comic but the election is messing with my nerves just a LITTLE https://t.co/XjkCcpqXsV
rebekahcoffee,darrensands,-0.4215,0.142,0.787,0.071,RT @darrensands: One of the important stories of this election is black organizers who worked to consolidate young black political power po
Sling,biggs_manno,0.5106,0.0,0.858,0.142,@biggs_manno Come check out Sling - We still have all of the channels and you can signup for tonight's free preview https://t.co/wv7dN9zLsu
Sling,blog,0.5106,0.0,0.858,0.142,@biggs_manno Come check out Sling - We still have all of the channels and you can signup for tonight's free preview https://t.co/wv7dN9zLsu
SatansNipss,StephenKing,-0.34,0.103,0.897,0.0,"RT @StephenKing: The ugliest election in living memory is almost over, but the polls are still open. VOTE, PEOPLE. Do your job."
NameLack467,eliselabottcnn,0.0,0.0,1.0,0.0,RT @eliselabottcnn: Election Day 2016: History arrives from @StCollinson @CNNPolitics https://t.co/rtQLGd5XgT
NameLack467,cnn,0.0,0.0,1.0,0.0,RT @eliselabottcnn: Election Day 2016: History arrives from @StCollinson @CNNPolitics https://t.co/rtQLGd5XgT
DanSmailes,realDenaldTrump,-0.0772,0.16,0.727,0.113,RT @realDenaldTrump: I'm proud to say that no living Republican President or Nominee voted for me this election. Also no living sane person
acstar9,_The6thHokage,0.0,0.0,1.0,0.0,RT @_The6thHokage: America After Today's Election https://t.co/SAO8PbE94B
acstar9,twitter,0.0,0.0,1.0,0.0,RT @_The6thHokage: America After Today's Election https://t.co/SAO8PbE94B
Ricolasjersey,thirdeyedshite,0.0,0.0,1.0,0.0,RT @thirdeyedshite: We record right after the election is decided so you know it's about to be fuego take city 
francistill,latimes,0.0,0.0,1.0,0.0,"RT @latimes: Election results are beginning to come in for Indiana, Kentucky and New Hampshire. Here's where it stands so far: https://t.co"
francistill,t,0.0,0.0,1.0,0.0,"RT @latimes: Election results are beginning to come in for Indiana, Kentucky and New Hampshire. Here's where it stands so far: https://t.co"
NTRL_WMN,repjohnlewis,0.0,0.0,1.0,0.0,"RT @repjohnlewis: Do not give up, give in, or give out. You must do what it takes to make your voice heard and cast your ballot in this ele"
izzyhaen14,AlecPaplham,0.0,0.0,1.0,0.0,RT @AlecPaplham: Realist words I think I have seen all election https://t.co/YMh8fdmfXE
izzyhaen14,twitter,0.0,0.0,1.0,0.0,RT @AlecPaplham: Realist words I think I have seen all election https://t.co/YMh8fdmfXE
Sammmyyy_25,CNN,-0.2732,0.084,0.875,0.042,"RT @CNN: Its all up to you now. No matter who youre voting for, see your vote counted on CNN election night in America.  https://t.co/8"
Sammmyyy_25,twitter,-0.2732,0.084,0.875,0.042,"RT @CNN: Its all up to you now. No matter who youre voting for, see your vote counted on CNN election night in America.  https://t.co/8"
OwaseyeI,cnn,0.0,0.0,1.0,0.0,"New: Control of Senate, House up for grabs https://t.co/51Yo1M4as3 #follow for more"
GabrielJ_W,See_Em_Play,-0.7579,0.306,0.694,0.0,RT @See_Em_Play: people to blame if the democrats lose the election: democratsnot to blame: bernie sanders jill stein young people
questiontheLaw,scotthortonshow,0.0,0.0,1.0,0.0,RT @scotthortonshow: Election Night Live Stream https://t.co/OdbsCg7xgw #tlot @LibertarianInst
questiontheLaw,libertarianinstitute,0.0,0.0,1.0,0.0,RT @scotthortonshow: Election Night Live Stream https://t.co/OdbsCg7xgw #tlot @LibertarianInst
cai_bou,_ForeverrYOUNG,0.7506,0.0,0.67,0.33,RT @_ForeverrYOUNG: Everybody in they sophisticated bag for Election Day lol I'm not wit it
kanimozhi,realDonaldTrump,0.7836,0.0,0.723,0.277,RT @realDonaldTrump: I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!
